id,crime_date,area,crime_type,latitude,longitude,risk_level
0,2023-01-01,North,theft,40.70397868501567,-73.96309193809414,medium
1,2023-01-02,North,theft,40.72604192912558,-73.90725747473283,medium
2,2023-01-03,North,theft,40.79988747686415,-73.99838350834287,medium
3,2023-01-04,North,theft,40.71542564531072,-73.98180767894694,medium
4,2023-01-05,North,theft,40.76838833289456,-73.9166678789247,medium
5,2023-01-06,North,theft,40.74980562944508,-73.95586139580949,medium
6,2023-01-07,North,theft,40.710172405473806,-73.92063689812183,medium
7,2023-01-08,North,theft,40.784701725039206,-73.98738379066008,medium
8,2023-01-09,North,theft,40.70892241705983,-73.96113015978848,medium
9,2023-01-10,North,theft,40.77793550591956,-73.92412382509329,medium
10,2023-01-11,North,theft,40.71602388663343,-73.94657520421933,medium
11,2023-01-12,North,theft,40.762724929318324,-73.97729426131282,medium
12,2023-01-13,North,theft,40.742027718368,-73.9370302874235,medium
13,2023-01-14,North,theft,40.707353099226125,-73.93145280178933,medium
14,2023-01-15,North,theft,40.732043768610964,-73.97069892378256,medium
15,2023-01-16,North,theft,40.77304742945334,-73.95104046213561,medium
16,2023-01-17,North,theft,40.75051670869316,-73.91072617331844,medium
17,2023-01-18,North,theft,40.79643565968274,-73.96656121454062,medium
18,2023-01-19,North,theft,40.738351364209194,-73.99331274149434,medium
19,2023-01-20,North,theft,40.74060329312015,-73.93057684444318,medium
20,2023-01-21,North,theft,40.750047910438994,-73.98815324966566,medium
21,2023-01-22,North,theft,40.78946198194557,-73.97372856661882,medium
22,2023-01-23,North,theft,40.7941313897745,-73.95863044061164,medium
23,2023-01-24,North,theft,40.77615068463271,-73.93636060145715,medium
24,2023-01-25,North,theft,40.723110647300125,-73.98545378724407,medium
25,2023-01-26,North,theft,40.77088608163509,-73.91911698307327,medium
26,2023-01-27,North,theft,40.77801271015254,-73.96058294182001,medium
27,2023-01-28,North,theft,40.726264991989744,-73.98340944351602,medium
28,2023-01-29,North,theft,40.712627473885576,-73.90504436271237,medium
29,2023-01-30,North,theft,40.707344654403286,-73.93855422567741,medium
30,2023-01-31,North,assault,40.78825456185623,-73.98969384947411,medium
31,2023-02-01,North,assault,40.79465142726692,-73.9432661931281,medium
32,2023-02-02,North,assault,40.751040777494076,-73.90071050300354,medium
33,2023-02-03,North,assault,40.79614901699054,-73.92921181989286,medium
34,2023-02-04,North,assault,40.790676274032236,-73.90499000136576,medium
35,2023-02-05,North,assault,40.717776421492005,-73.91175923018362,medium
36,2023-02-06,North,assault,40.71270423682706,-73.91254023527834,medium
37,2023-02-07,North,assault,40.788997242767955,-73.9873812685123,medium
38,2023-02-08,North,assault,40.749014145655444,-73.99011865258028,medium
39,2023-02-09,North,assault,40.77301259483737,-73.95479634936238,medium
40,2023-02-10,South,assault,40.793485641397766,-73.94057367720369,medium
41,2023-02-11,South,assault,40.72152790687955,-73.97344329880723,medium
42,2023-02-12,South,assault,40.70377736562343,-73.9826446437584,medium
43,2023-02-13,South,assault,40.78192722312907,-73.93592581730114,medium
44,2023-02-14,South,assault,40.74243799720427,-73.91859203104441,medium
45,2023-02-15,South,assault,40.78753737775151,-73.95661175000063,medium
46,2023-02-16,South,assault,40.75734095230208,-73.98104370130305,medium
47,2023-02-17,South,assault,40.72884039403602,-73.9920505255308,medium
48,2023-02-18,South,assault,40.723918180976625,-73.91644599769062,medium
49,2023-02-19,South,assault,40.70652895380623,-73.97007393852078,medium
50,2023-02-20,South,assault,40.72849196634244,-73.95409825170798,medium
51,2023-02-21,South,assault,40.72659604481972,-73.95652421975224,medium
52,2023-02-22,South,assault,40.78757491155745,-73.96329759080562,medium
53,2023-02-23,South,assault,40.730340309005946,-73.9211225518024,medium
54,2023-02-24,South,assault,40.748443694674016,-73.9400119173183,medium
55,2023-02-25,South,burglary,40.74320908799927,-73.94813384027898,medium
56,2023-02-26,South,burglary,40.71720892037384,-73.90790365062054,medium
57,2023-02-27,South,burglary,40.70276970590464,-73.94260667009961,medium
58,2023-02-28,South,burglary,40.730415794200084,-73.94396474882632,medium
59,2023-03-01,South,burglary,40.72668895873213,-73.95477486522249,medium
60,2023-03-02,South,burglary,40.72519520502482,-73.9024843650226,medium
61,2023-03-03,South,burglary,40.75512547548041,-73.90163063471216,medium
62,2023-03-04,South,burglary,40.72415828515952,-73.9333378697536,medium
63,2023-03-05,South,burglary,40.78403146255916,-73.97499479823959,medium
64,2023-03-06,South,burglary,40.757740955374175,-73.97024096159154,medium
65,2023-03-07,South,burglary,40.716722315089385,-73.99646406169792,medium
66,2023-03-08,South,burglary,40.78779826645034,-73.99567470451,medium
67,2023-03-09,South,burglary,40.760582113409434,-73.95207102060697,medium
68,2023-03-10,South,burglary,40.734904196429305,-73.90363054867127,medium
69,2023-03-11,South,burglary,40.78021657885728,-73.92851083162327,medium
70,2023-03-12,South,burglary,40.76271120571667,-73.95836898714192,medium
